,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission
0,2014,3.35,-0.23582190495998887,-0.25579848491417573,2,0,1
4,2014,4.6,-0.08774428909411237,0.14150771341365026,1,0,1
5,2018,9.25,0.25468519759572694,-0.8968629650510284,1,0,1
6,2015,6.75,0.05686275764990751,-0.4667693620068284,2,0,1
9,2015,7.45,0.1494112675660804,0.13937331765564318,1,0,1
12,2015,7.5,0.26741061770920066,-0.564385823421225,2,0,0
13,2015,6.1,0.009431646317869044,-0.28151409645642983,2,0,1
14,2009,2.25,-0.04841117237973895,1.0409626583270721,2,0,1
15,2016,7.75,0.3657434094951342,0.15565129976189002,1,0,1
16,2015,7.25,0.3657434094951342,0.12165526130303009,1,0,1
17,2016,7.75,0.3657434094951342,0.15565129976189002,1,0,1
18,2015,3.25,-0.2936647236575968,-0.037215786805015784,0,0,1
19,2010,2.65,0.04066676841457741,0.11558637697905813,2,0,1
20,2016,2.85,-0.425546350288143,-0.30722970799868393,2,0,1
21,2017,4.9,-0.22193962847256293,-0.8884025288536268,2,0,1
23,2014,2.5,-0.4822323126117989,0.2142828940782294,2,0,1
24,2013,2.9,-0.3723309570863437,0.5125582723568348,2,0,1
26,2013,4.15,-0.20342992648932837,0.4677873926617704,2,0,1
27,2017,6.0,-0.13170483130429442,-0.5335270895705201,2,1,1
28,2010,1.95,-0.425546350288143,0.19530477276004585,2,0,1
29,2015,7.45,0.3183122981630958,0.20708252284639825,1,0,1
30,2012,3.1,-0.19070450637585457,0.37266534556697245,1,0,1
31,2011,2.35,-0.31680185113664006,0.443666149035136,2,0,1
33,2014,6.0,0.2685674740831528,0.20708252284639825,1,0,1
36,2015,4.65,-0.04956802875369108,0.30395323152606946,2,0,1
37,2003,0.35,-0.6187413647381538,2.315762669311235,2,1,1
38,2016,3.0,-0.4475266213932341,-0.6909323478206575,2,0,1
41,2014,2.55,-0.4220757811662866,0.25095335613748376,2,0,1
42,2008,1.95,-0.05535231062345186,0.5413854728957016,2,0,1
43,2014,5.5,0.049921619406194696,0.22714069984935645,1,0,1
44,2012,1.25,-0.5713102534061153,0.3356605805576688,2,0,1
45,2014,7.5,0.5103504562391542,-0.564385823421225,2,0,0
46,2013,2.65,-0.31680185113664006,0.7093598474897055,2,0,1
47,2006,1.05,-0.4024092228090998,0.7213947536914804,2,0,1
48,2015,5.8,0.009431646317869044,-0.28485712595692286,2,0,1
50,2012,14.9,2.658632742668315,1.7424845411997643,1,0,0
51,2015,23.0,2.658632742668315,0.0785044651351277,1,0,0
52,2017,18.0,1.4046004333041737,-0.564385823421225,1,0,0
53,2013,16.0,2.658632742668315,2.521487561649268,1,1,0
55,2009,3.6,0.8574073684248021,0.8499728114027509,2,0,0
57,2010,4.75,1.262307099308058,0.3356605805576688,2,0,1
58,2014,4.1,-0.09584228371177753,0.06526092519086683,2,0,1
60,2013,6.95,1.2704050939257232,0.07853018074666995,2,0,1
61,2015,4.5,0.008274789943916908,0.09362524472197312,2,0,1
62,2014,18.75,3.2775509027327208,1.0556977037407838,1,0,0
63,2015,23.5,3.2775509027327208,0.2585137459309065,1,0,0
64,2017,33.0,3.3087860248294287,-0.7958263273015119,1,0,0
65,2014,4.75,-0.07848943810249508,0.20708252284639825,1,0,1
66,2017,19.75,1.7956178877000037,-0.6672482695902414,2,0,0
67,2010,9.25,1.4832666667329206,0.5671010844379557,1,0,1
68,2011,4.35,0.7070160398110215,1.312853819163325,2,0,1
69,2016,14.25,1.53648205993472,-0.6415326580479873,2,0,1
70,2014,3.95,-0.10046970920758616,0.875688422945005,1,0,1
71,2011,4.5,0.5612521366930493,0.20708252284639825,1,0,1
73,2011,2.65,-0.22193962847256293,0.15565129976189002,2,0,1
74,2014,4.9,0.15056812394003252,1.1842757614520543,1,0,1
75,2015,3.95,-0.09584228371177753,-0.024357981033888733,2,0,1
76,2013,5.5,0.8157605389625244,0.9014040344872591,2,0,1
77,2004,1.5,0.5462130038316712,2.525447765826775,2,0,0
80,2016,14.73,0.8400545228155198,-0.35866093108319214,1,0,1
82,2017,23.0,2.0547537154652877,-0.564385823421225,1,0,0
83,2015,12.5,0.674624061340361,0.027073242050619485,1,0,1
87,2012,5.9,0.7070160398110215,0.48995424981119345,2,0,1
88,2013,3.45,-0.1826065117581895,0.2585137459309065,2,0,1
89,2014,4.75,-0.10046970920758616,0.0785044651351277,2,0,1
90,2009,3.8,1.2704050939257232,0.6442479190647181,2,0,1
91,2014,11.25,0.978877287689779,0.5476086508889272,1,0,1
93,2015,23.0,2.658632742668315,0.0785044651351277,1,0,0
94,2008,4.0,1.752814201863774,1.338569430705579,2,0,0
95,2012,5.85,1.2704050939257232,0.9014040344872591,2,0,1
96,2016,20.75,2.0547537154652877,-0.2043672618296675,1,0,0
98,2013,7.05,1.2704050939257232,0.20708252284639825,2,0,1
101,2017,1.7,-0.671956757939953,-0.9141181403958809,2,1,1
103,2017,1.45,-0.6974075981669007,-0.9192612627043317,2,1,1
105,2015,1.35,-0.6083296573725843,-0.39209122608812247,2,1,1
106,2014,1.35,-0.483389168985751,-0.5258124061078439,2,1,1
107,2013,1.25,-0.7089761619064222,-0.564385823421225,2,1,1
108,2016,1.2,-0.7089761619064222,-0.4872389887944627,2,1,1
109,2017,1.2,-0.7124467310282787,-0.6672482695902414,2,1,1
110,2016,1.2,-0.6765841834357618,-0.7958263273015119,2,1,1
111,2016,1.15,-0.7089761619064222,-0.7263941761374259,2,1,1
114,2015,1.15,-0.7124467310282787,-0.5129546003367168,2,1,1
116,2013,1.1,-0.7124467310282787,-0.10150481566065106,2,1,1
117,2015,1.1,-0.6627019069483358,-0.5901014349634791,2,1,1
119,2013,1.05,-0.6627019069483358,-0.8112556942268645,2,1,1
120,2016,1.05,-0.7367407148812741,-0.8035410107641882,2,1,1
121,2011,1.05,-0.7089761619064222,-0.7726822769134832,2,1,1
122,2016,1.05,-0.7471524222468435,-0.7958263273015119,2,1,1
123,2013,1.0,-0.7124467310282787,0.2456559401597794,2,1,1
124,2012,0.95,-0.6800547525576183,-0.6543904638191144,2,1,1
125,2009,0.9,-0.6800547525576183,0.0785044651351277,2,1,1
126,2017,0.9,-0.772603262473791,-0.9166897015501063,2,1,1
127,2016,0.75,-0.7899561080830735,-0.7701107157592578,2,1,1
128,2017,0.8,-0.7818581134654082,-0.8729731619282743,2,1,1
129,2017,0.78,-0.7853286825872647,-0.8215419388437661,2,1,1
130,2017,0.75,-0.7818581134654082,-0.6672482695902414,2,1,1
131,2015,0.75,-0.7876423953351691,-0.4872389887944627,2,1,1
132,2017,0.75,-0.772603262473791,-0.8601153561571473,2,1,1
133,2016,0.72,-0.772603262473791,-0.9372621907839096,2,1,1
134,2017,0.65,-0.7887992517091212,-0.6466757803564381,2,1,1
135,2015,0.65,-0.7968972463267864,-0.8215419388437661,2,1,1
136,2014,0.65,-0.743681853124987,-0.3458031253120651,2,1,1
137,2013,0.65,-0.7914600213692112,-0.5386702118789709,2,1,1
138,2016,0.6,-0.7818581134654082,-0.564385823421225,2,1,1
139,2015,0.6,-0.772603262473791,-0.5232408449536184,2,1,1
140,2013,0.6,-0.743681853124987,-0.12722042720290516,2,1,1
141,2016,0.6,-0.7899561080830735,-0.43580776570995444,2,1,1
142,2015,0.6,-0.7853286825872647,-0.2043672618296675,2,1,1
143,2016,0.6,-0.7853286825872647,-0.30722970799868393,2,1,1
144,2014,0.6,-0.7679758369779823,-0.30722970799868393,2,1,1
145,2012,0.6,-0.7887992517091212,-0.4615233772522086,2,1,1
147,2015,0.55,-0.7853286825872647,0.5413854728957016,2,1,1
150,2011,0.5,-0.7869482815107979,-0.7958263273015119,2,1,1
152,2012,0.5,-0.7679758369779823,-0.6158170465057332,2,1,1
153,2013,0.5,-0.7679758369779823,0.20708252284639825,2,1,1
154,2014,0.5,-0.7807012570914561,-0.7443951042170037,2,1,1
156,2017,0.48,-0.8223480865537339,-0.564385823421225,2,1,1
157,2015,0.48,-0.7853286825872647,-0.35866093108319214,2,1,1
158,2017,0.48,-0.8200343738058296,-0.7289657372916513,2,1,1
159,2017,0.45,-0.8235049429276861,-0.8472575503860202,2,1,0
160,2011,0.45,-0.772603262473791,-0.33294531954093803,2,1,1
161,2014,0.45,-0.7869482815107979,-0.35866093108319214,2,1,1
162,2012,0.45,-0.7679758369779823,-0.5772436291923521,2,1,1
163,2010,0.45,-0.772603262473791,-0.25579848491417573,2,1,1
164,2016,0.45,-0.8200343738058296,-0.5901014349634791,2,1,1
165,2016,0.45,-0.8200343738058296,-0.9372621907839096,2,1,0
166,2016,0.45,-0.8188775174318774,-0.9244043850127825,2,1,1
167,2014,0.42,-0.7887992517091212,0.12993568821963591,2,1,1
168,2013,0.42,-0.7980541027007385,-0.6415326580479873,2,1,1
169,2015,0.4,-0.8200343738058296,-0.5901014349634791,2,1,1
170,2012,0.4,-0.7864855389612169,-0.808684133072639,2,1,1
171,2015,0.4,-0.8188775174318774,-0.777825399221934,2,1,1
172,2014,0.4,-0.808465810066308,-0.5978161184261553,2,1,1
173,2017,0.4,-0.8235049429276861,-0.9166897015501063,2,1,0
175,2011,0.38,-0.7914600213692112,0.9785508691140214,2,1,1
178,2014,0.35,-0.8223480865537339,-0.4615233772522086,2,1,0
180,2012,0.3,-0.8235049429276861,0.5928166959802099,2,1,1
181,2016,0.3,-0.8269755120495424,0.3356605805576688,2,1,1
184,2008,0.25,-0.7957403899528342,-0.28151409645642983,2,1,1
185,2008,0.25,-0.8154069483100209,-0.9012603346247539,2,1,0
186,2010,0.25,-0.8223480865537339,-0.38437654262544624,2,1,0
187,2013,0.25,-0.8235049429276861,-0.12722042720290516,2,1,1
188,2013,0.25,-0.816563804683973,-0.4872389887944627,2,1,1
189,2005,0.2,-0.816563804683973,0.4642386382689393,2,1,1
190,2008,0.2,-0.7957403899528342,0.5928166959802099,2,1,1
191,2012,0.2,-0.816563804683973,-0.30722970799868393,2,1,1
192,2007,0.2,-0.7957403899528342,0.3099449690154147,2,1,1
193,2013,0.2,-0.8073089536923558,-0.33294531954093803,2,1,1
194,2008,0.2,-0.7914600213692112,0.3356605805576688,2,1,1
195,2015,0.18,-0.8454852140327771,-0.05007359257614284,2,1,1
197,2010,0.16,-0.8235049429276861,-0.10150481566065106,2,1,1
198,2011,0.15,-0.816563804683973,-0.05007359257614284,2,1,1
200,2006,0.1,-0.7957403899528342,1.4217080028216866,2,1,1
201,2010,3.25,-0.09699914008572966,0.5413854728957016,1,0,1
202,2015,4.4,-0.22309648484651506,-0.22493975106347078,2,0,1
203,2011,2.95,-0.3503506859812527,0.424636596493868,2,0,1
204,2015,2.75,-0.3700172443384394,-0.22283107091700594,2,0,1
205,2016,5.25,-0.22309648484651506,-0.860295365437943,2,0,1
206,2017,5.75,-0.057666023371356234,-0.6292148801192476,2,0,1
208,2017,7.9,0.05454904490200324,-0.8617868709073938,2,0,1
209,2015,4.85,-0.22309648484651506,-0.4068777027249186,1,0,1
210,2012,3.1,-0.3503506859812527,-0.030143993630895906,2,0,1
211,2015,11.75,0.8284859590759981,0.16940915193699596,1,0,1
213,2011,2.9,-0.09699914008572966,-0.1374038093736378,2,0,1
214,2017,5.25,-0.22309648484651506,-0.4328761859941375,2,0,1
215,2012,4.5,0.2049403735157841,-0.021786419879663323,2,0,1
216,2016,2.9,-0.3700172443384394,-0.6286748522768603,2,0,1
218,2014,6.45,0.2049403735157841,0.20908834054669406,2,0,1
219,2012,4.5,0.2049403735157841,-0.024357981033888733,2,0,1
221,2013,4.5,-0.09699914008572966,-0.12722042720290516,2,0,0
222,2014,6.0,-0.003293773795604752,1.0462343586932343,1,0,1
223,2015,8.25,0.2049403735157841,0.6283299555200628,1,0,1
224,2013,5.11,0.2049403735157841,-0.01926628994852242,2,0,0
225,2011,2.7,-0.3503506859812527,-0.3710815714581009,2,0,1
226,2015,5.25,-0.22309648484651506,-0.31551013491528973,2,0,1
227,2011,2.55,-0.3700172443384394,0.5156698613534475,2,0,1
228,2012,4.95,0.2049403735157841,0.5928166959802099,1,0,1
229,2012,3.1,-0.09699914008572966,0.39048626436575457,1,0,1
230,2013,6.15,0.2049403735157841,0.20708252284639825,1,0,1
231,2017,9.25,0.2049403735157841,-0.5643601078096827,2,0,1
232,2015,11.45,0.8284859590759981,-0.6183886076599586,2,0,0
233,2013,3.9,-0.22309648484651506,0.4128074151844311,1,0,1
234,2015,5.5,-0.22309648484651506,-0.8346054695072311,2,0,1
235,2017,9.1,0.2049403735157841,-0.5607599221937671,2,0,1
236,2016,3.1,-0.3700172443384394,-0.6454157153908677,2,0,1
237,2015,11.25,0.6908200505756912,0.7985415883182427,1,0,1
238,2013,4.8,0.2049403735157841,0.5990141583618931,2,0,1
241,2015,4.75,-0.057666023371356234,-0.027803872980550783,2,0,1
242,2014,4.4,-0.057666023371356234,-0.07578920411839694,2,0,1
243,2016,6.25,-0.003293773795604752,-0.7701107157592578,2,0,1
244,2013,5.95,0.2049403735157841,0.3099449690154147,1,0,1
246,2012,3.75,-0.09699914008572966,-0.05007359257614284,2,0,1
247,2015,5.95,0.2049403735157841,-0.024357981033888733,2,0,1
248,2013,4.0,-0.3503506859812527,-0.1786516502874134,2,0,1
249,2016,5.25,-0.003293773795604752,-0.5129546003367168,2,0,1
251,2013,5.0,0.2627831922133921,0.5079808935023136,2,0,1
252,2015,5.4,-0.09352857096387315,-0.14195547261661676,2,0,0
255,2012,3.0,-0.2635864579348407,0.4301654529754526,2,0,1
256,2016,10.25,0.6908200505756912,0.32439714270216147,2,0,1
257,2015,8.5,0.6908200505756912,0.08683632327481804,2,0,1
258,2015,8.4,0.6908200505756912,-0.30722970799868393,2,0,1
259,2014,3.9,-0.0727051562327343,-0.02296933801060701,2,0,1
260,2016,9.15,0.6908200505756912,-0.19863268045574484,2,0,1
261,2016,5.5,-0.1918613627498068,-0.8061125719184136,2,0,1
264,2015,4.0,-0.0727051562327343,0.0791730710352263,2,0,1
265,2017,6.5,0.12396042733913279,-0.4049490318592495,2,0,1
266,2014,3.65,-0.0727051562327343,-0.05007359257614284,2,0,1
267,2016,8.35,0.2049403735157841,-0.4503628018428703,1,0,1
270,2011,4.1,0.27435175595291367,0.8330262233964055,2,0,1
272,2015,7.5,0.27435175595291367,-0.24036911798882324,2,0,1
273,2010,2.25,-0.01486233753512631,0.6237525766655415,2,0,1
274,2014,5.3,-0.09584228371177753,-0.5258124061078439,2,0,1
275,2016,10.9,0.6908200505756912,-0.15928779479609603,2,0,0
276,2015,8.65,0.6908200505756912,-0.31237283030713475,2,0,1
277,2015,9.7,0.6908200505756912,-0.39003397716474214,2,0,1
278,2016,6.0,0.08925473612056811,-0.8472575503860202,2,0,1
279,2014,6.25,0.6908200505756912,0.08174463218945172,2,0,1
280,2015,5.25,-0.19995935736747183,-0.578143675596331,2,0,1
281,2006,2.1,-0.003293773795604752,0.34738689942093665,2,0,1
282,2014,8.25,0.7370943055337776,0.6699635306069722,1,0,1
283,2016,8.99,0.4825859032643025,-0.7184223365593271,2,0,1
284,2013,3.5,-0.19995935736747183,-0.6981070034409463,2,0,1
285,2016,7.4,0.10082329986008967,-0.5628686023402321,2,0,0
286,2016,5.65,0.03141191742296012,-0.215450690404379,2,0,1
287,2015,5.75,-0.01486233753512631,0.18136691130414415,2,0,0
288,2015,8.4,0.6908200505756912,-0.07578920411839694,2,0,1
289,2016,10.11,0.6908200505756912,-0.6677625818210865,2,0,1
290,2014,4.5,-0.14211653866986385,-0.4615233772522086,2,0,1
291,2015,5.4,-0.17682222988842872,-0.14195547261661676,2,0,1
292,2016,6.4,0.08925473612056811,-0.6415326580479873,2,0,1
294,2014,3.75,-0.09584228371177753,-0.10101621904134823,2,0,1
295,2015,8.55,0.6318203755041311,0.5947710824574212,1,0,1
296,2016,9.5,0.45944877578525917,-0.076097791456904,1,0,1
298,2009,3.35,0.39003739334812965,1.3111565888015362,2,0,1
299,2017,11.5,0.5635658494409537,-0.7186794926747496,1,0,1
